abbreviation	officialName	equation	subSystem	proteinClass	geneAssociation
EX_colipa(e)	core oligosaccharide lipid A exchange	[e] : colipa <==>			
EX_cpgn(e)	coprogen exchange	[e] : cpgn <==>			
EX_cpgn-un(e)	coprogen unloaded (no Fe(III)) exchange	[e] : cpgn-un <==>			
EX_crn(e)	L-Carnitine exchange	[e] : crn <==>			
EX_csn(e)	Cytosine exchange	[e] : csn <==>			
EX_cu(e)	Cu+ exchange	[e] : cu <==>			
EX_cu2(e)	Cu2+ exchange	[e] : cu2 <==>			
EX_cyan(e)	Hydrogen cyanide exchange	[e] : cyan <==>			
EX_cynt(e)	Cyanate exchange	[e] : cynt <==>			
EX_cys-D(e)	D-Cysteine exchange	[e] : cys-D <==>			
EX_cys-L(e)	L-Cysteine exchange	[e] : cys-L <==>			
EX_cytd(e)	Cytidine exchange	[e] : cytd <==>			
EX_dad-2(e)	Deoxyadenosine exchange	[e] : dad-2 <==>			
EX_damp(e)	dAMP exchange	[e] : damp <==>			
EX_dca(e)	Decanoate (n-C10:0) exchange	[e] : dca <==>			
EX_dcmp(e)	dCMP exchange	[e] : dcmp <==>			
EX_dcyt(e)	Deoxycytidine exchange	[e] : dcyt <==>			
EX_ddca(e)	Dodecanoate (n-C12:0) exchange	[e] : ddca <==>			
EX_dgmp(e)	dGMP exchange	[e] : dgmp <==>			
EX_dgsn(e)	Deoxyguanosine exchange	[e] : dgsn <==>			
EX_dha(e)	Dihydroxyacetone exchange	[e] : dha <==>			
EX_dimp(e)	dIMP exchange	[e] : dimp <==>			
EX_din(e)	Deoxyinosine exchange	[e] : din <==>			
EX_dms(e)	Dimethyl sulfide exchange	[e] : dms <==>			
EX_dmso(e)	Dimethyl sulfoxide exchange	[e] : dmso <==>			
EX_dopa(e)	Dopamine exchange	[e] : dopa <==>			
EX_dtmp(e)	dTMP exchange	[e] : dtmp <==>			
EX_dump(e)	dUMP exchange	[e] : dump <==>			
EX_duri(e)	Deoxyuridine exchange	[e] : duri <==>			
EX_eca4colipa(e)	(enterobacterial common antigen)x4 core oligosaccharide lipid A exchange	[e] : eca4colipa <==>			
EX_enlipa(e)	phosphoethanolamine KDO(2)-lipid (A) exchange	[e] : enlipa <==>			
EX_enter(e)	Enterochelin exchange	[e] : enter <==>			
EX_etha(e)	Ethanolamine exchange	[e] : etha <==>			
EX_ethso3(e)	ethanesulfonate exchange	[e] : ethso3 <==>			
EX_etoh(e)	Ethanol exchange	[e] : etoh <==>			
EX_f6p(e)	D-fructose 6-phosphate exchange	[e] : f6p <==>			
EX_fald(e)	Formaldehyde exchange	[e] : fald <==>			
EX_fe2(e)	Fe2+ exchange	[e] : fe2 <==>			
EX_fe3(e)	Fe3+ exchange	[e] : fe3 <==>			
EX_fe3dcit(e)	Fe(III)dicitrate exchange	[e] : fe3dcit <==>			
EX_fe3dhbzs(e)	ferric 2,3-dihydroxybenzoylserine exchange	[e] : fe3dhbzs <==>			
EX_fe3hox(e)	Fe(III)hydroxamate exchange	[e] : fe3hox <==>			
EX_fe3hox-un(e)	Fe(III)hydoxamate, unloaded exchange	[e] : fe3hox-un <==>			
EX_fecrm(e)	Ferrichrome exchange	[e] : fecrm <==>			
EX_fecrm-un(e)	Ferrichrome minus Fe(III) exchange	[e] : fecrm-un <==>			
EX_feenter(e)	Fe-enterobactin exchange	[e] : feenter <==>			
EX_feoxam(e)	ferroxamine exchange	[e] : feoxam <==>			
EX_feoxam-un(e)	ferroxamine minus Fe(3) exchange	[e] : feoxam-un <==>			
EX_for(e)	Formate exchange	[e] : for <==>			
EX_fru(e)	D-Fructose exchange	[e] : fru <==>			
EX_frulys(e)	fructoselysine exchange	[e] : frulys <==>			
EX_fruur(e)	D-Fructuronate exchange	[e] : fruur <==>			
EX_fuc-L(e)	L-Fucose exchange	[e] : fuc-L <==>			
EX_fum(e)	Fumarate exchange	[e] : fum <==>			
EX_g1p(e)	D-Glucose 1-phosphate exchange	[e] : g1p <==>			
EX_g3pc(e)	sn-Glycero-3-phosphocholine exchange	[e] : g3pc <==>			
EX_g3pe(e)	sn-Glycero-3-phosphoethanolamine exchange	[e] : g3pe <==>			
EX_g3pg(e)	Glycerophosphoglycerol exchange	[e] : g3pg <==>			
EX_g3pi(e)	sn-Glycero-3-phospho-1-inositol exchange	[e] : g3pi <==>			
EX_g3ps(e)	Glycerophosphoserine exchange	[e] : g3ps <==>			
EX_g6p(e)	D-Glucose 6-phosphate exchange	[e] : g6p <==>			
EX_gal(e)	D-Galactose exchange	[e] : gal <==>			
EX_gal1p(e)	alpha-D-Galactose 1-phosphate exchange	[e] : gal1p <==>			
EX_gal-bD(e)	beta D-Galactose exchange	[e] : gal-bD <==>			
EX_galct-D(e)	D-Galactarate exchange	[e] : galct-D <==>			
EX_galctn-D(e)	D-Galactonate exchange	[e] : galctn-D <==>			
EX_galctn-L(e)	L-Galactonate exchange	[e] : galctn-L <==>			
EX_galt(e)	Galactitol exchange	[e] : galt <==>			
EX_galur(e)	D-Galacturonate exchange	[e] : galur <==>			
EX_gam(e)	D-Glucosamine exchange	[e] : gam <==>			
EX_gam6p(e)	D-Glucosamine 6-phosphate exchange	[e] : gam6p <==>			
EX_gbbtn(e)	gamma-butyrobetaine exchange	[e] : gbbtn <==>			
EX_gdp(e)	GDP exchange	[e] : gdp <==>			
EX_glc(e)	D-Glucose exchange	[e] : glc-D <==>			
EX_glcn(e)	D-Gluconate exchange	[e] : glcn <==>			
EX_glcr(e)	D-Glucarate exchange	[e] : glcr <==>			
EX_glcur(e)	D-Glucuronate exchange	[e] : glcur <==>			
EX_glcur1p(e)	D-Glucuronate 1-phosphate exchange	[e] : glcur1p <==>			
EX_gln-L(e)	L-Glutamine exchange	[e] : gln-L <==>			
EX_glu-L(e)	L-Glutamate exchange	[e] : glu-L <==>			
EX_gly(e)	Glycine exchange	[e] : gly <==>			
EX_glyald(e)	D-Glyceraldehyde exchange	[e] : glyald <==>			
EX_glyb(e)	Glycine betaine exchange	[e] : glyb <==>			
EX_glyc(e)	Glycerol exchange	[e] : glyc <==>			
EX_glyc2p(e)	Glycerol 2-phosphate exchange	[e] : glyc2p <==>			
EX_glyc3p(e)	Glycerol 3-phosphate exchange	[e] : glyc3p <==>			
EX_glyclt(e)	Glycolate exchange	[e] : glyclt <==>			
EX_glyc-R(e)	(R)-Glycerate exchange	[e] : glyc-R <==>			
EX_gmp(e)	GMP exchange	[e] : gmp <==>			
EX_gsn(e)	Guanosine exchange	[e] : gsn <==>			
EX_gthox(e)	Oxidized glutathione exchange	[e] : gthox <==>			
EX_gthrd(e)	Reduced glutathione exchange	[e] : gthrd <==>			
EX_gtp(e)	GTP exchange	[e] : gtp <==>			
EX_gua(e)	Guanine exchange	[e] : gua <==>			
EX_h(e)	H+ exchange	[e] : h <==>			
EX_h2(e)	H2 exchange	[e] : h2 <==>			
EX_h2o(e)	H2O exchange	[e] : h2o <==>			
EX_h2o2(e)	Hydrogen peroxide exchange	[e] : h2o2 <==>			
EX_h2s(e)	Hydrogen sulfide exchange	[e] : h2s <==>			
EX_hacolipa(e)	hepta-acylated core oligosaccharide lipid A (E. coli) exchange	[e] : hacolipa <==>			
EX_halipa(e)	hepta-acylated KDO(2)-lipid (A) exchange	[e] : halipa <==>			
EX_hdca(e)	Hexadecanoate (n-C16:0) exchange	[e] : hdca <==>			
EX_hdcea(e)	hexadecenoate (n-C16:1) exchange	[e] : hdcea <==>			
EX_hg2(e)	Hg2+ exchange	[e] : hg2 <==>			
EX_his-L(e)	L-Histidine exchange	[e] : his-L <==>			
EX_hom-L(e)	L-Homoserine exchange	[e] : hom-L <==>			
EX_hxa(e)	Hexanoate (n-C6:0) exchange	[e] : hxa <==>			
EX_hxan(e)	Hypoxanthine exchange	[e] : hxan <==>			
EX_idon-L(e)	L-Idonate exchange	[e] : idon-L <==>			
EX_ile-L(e)	L-Isoleucine exchange	[e] : ile-L <==>			
EX_imp(e)	IMP exchange	[e] : imp <==>			
EX_indole(e)	Indole exchange	[e] : indole <==>			
EX_inost(e)	myo-Inositol exchange	[e] : inost <==>			
EX_ins(e)	Inosine exchange	[e] : ins <==>			
EX_isetac(e)	Isethionic acid exchange	[e] : isetac <==>			
EX_k(e)	K+ exchange	[e] : k <==>			
EX_kdo2lipid4(e)	KDO(2)-lipid IV(A) exchange	[e] : kdo2lipid4 <==>			
EX_lac-D(e)	D-lactate exchange	[e] : lac-D <==>			
EX_lac-L(e)	L-Lactate exchange	[e] : lac-L <==>			
EX_LalaDgluMdap(e)	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate exchange	[e] : LalaDgluMdap <==>			
EX_LalaDgluMdapDala(e)	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine exchange	[e] : LalaDgluMdapDala <==>			
EX_lcts(e)	Lactose exchange	[e] : lcts <==>			
EX_leu-L(e)	L-Leucine exchange	[e] : leu-L <==>			
EX_lipa(e)	KDO(2)-lipid (A) exchange	[e] : lipa <==>			
EX_lipa_cold(e)	cold adapted KDO(2)-lipid (A) exchange	[e] : lipa_cold <==>			
EX_lys-L(e)	L-Lysine exchange	[e] : lys-L <==>			
EX_lyx-L(e)	L-Lyxose exchange	[e] : lyx-L <==>			
EX_mal-D(e)	D-Malate exchange	[e] : mal-D <==>			
EX_mal-L(e)	L-Malate exchange	[e] : mal-L <==>			
EX_malt(e)	Maltose exchange	[e] : malt <==>			
EX_malthx(e)	Maltohexaose exchange	[e] : malthx <==>			
EX_maltpt(e)	Maltopentaose exchange	[e] : maltpt <==>			
EX_malttr(e)	Maltotriose exchange	[e] : malttr <==>			
EX_maltttr(e)	Maltotetraose exchange	[e] : maltttr <==>			
EX_man(e)	D-Mannose exchange	[e] : man <==>			
EX_man6p(e)	D-Mannose 6-phosphate exchange	[e] : man6p <==>			
EX_manglyc(e)	2(alpha-D-Mannosyl)-D-glycerate exchange	[e] : manglyc <==>			
EX_melib(e)	Melibiose exchange	[e] : melib <==>			
EX_met-D(e)	D-Methionine exchange	[e] : met-D <==>			
EX_met-L(e)	L-Methionine exchange	[e] : met-L <==>			
EX_metsox-R-L(e)	L-methionine-R-sulfoxide exchange	[e] : metsox-R-L <==>			
EX_metsox-S-L(e)	L-Methionine S-oxide exchange	[e] : metsox-S-L <==>			
EX_mg2(e)	Mg exchange	[e] : mg2 <==>			
EX_minohp(e)	myo-Inositol hexakisphosphate exchange	[e] : minohp <==>			
EX_mmet(e)	S-Methyl-L-methionine exchange	[e] : mmet <==>			
EX_mn2(e)	Mn2+ exchange	[e] : mn2 <==>			
EX_mnl(e)	D-Mannitol exchange	[e] : mnl <==>			
EX_mobd(e)	Molybdate exchange	[e] : mobd <==>			
EX_mso3(e)	methanesulfonate exchange	[e] : mso3 <==>			
EX_n2o(e)	Nitrous oxide exchange	[e] : n2o <==>			
EX_na1(e)	Sodium exchange	[e] : na1 <==>			
EX_nac(e)	Nicotinate exchange	[e] : nac <==>			
EX_nh4(e)	Ammonia exchange	[e] : nh4 <==>			
EX_ni2(e)	Ni2+ exchange	[e] : ni2 <==>			
EX_nmn(e)	NMN exchange	[e] : nmn <==>			
EX_no(e)	Nitric oxide exchange	[e] : no <==>			
EX_no2(e)	Nitrite exchange	[e] : no2 <==>			
EX_no3(e)	Nitrate exchange	[e] : no3 <==>			
EX_o16a4colipa(e)	(O16 antigen)x4 core oligosaccharide lipid A exchange	[e] : o16a4colipa <==>			
EX_o2(e)	O2 exchange	[e] : o2 <==>			
EX_o2s(e)	Superoxide anion exchange	[e] : o2s <==>			
EX_ocdca(e)	octadecanoate (n-C18:0) exchange	[e] : ocdca <==>			
EX_ocdcea(e)	octadecenoate (n-C18:1) exchange	[e] : ocdcea <==>			
EX_octa(e)	octanoate (n-C8:0) exchange	[e] : octa <==>			
EX_orn(e)	Ornithine exchange	[e] : orn <==>			
EX_orot(e)	Orotate exchange	[e] : orot <==>			
EX_pacald(e)	Phenylacetaldehyde exchange	[e] : pacald <==>			
EX_peamn(e)	Phenethylamine exchange	[e] : peamn <==>			
EX_phe-L(e)	L-Phenylalanine exchange	[e] : phe-L <==>			
EX_pheme(e)	Protoheme exchange	[e] : pheme <==>			
EX_pi(e)	Phosphate exchange	[e] : pi <==>			
EX_pnto-R(e)	(R)-Pantothenate exchange	[e] : pnto-R <==>			
EX_ppa(e)	Propionate exchange	[e] : ppa <==>			
EX_ppal(e)	Propanal exchange	[e] : ppal <==>			
EX_pppn(e)	Phenylpropanoate exchange	[e] : pppn <==>			
EX_ppt(e)	Phosphonate exchange	[e] : ppt <==>			
EX_progly(e)	L-Prolinylglycine exchange	[e] : progly <==>			
EX_pro-L(e)	L-Proline exchange	[e] : pro-L <==>			
EX_psclys(e)	psicoselysine exchange	[e] : psclys <==>			
EX_pser-L(e)	O-Phospho-L-serine exchange	[e] : pser-L <==>			
EX_ptrc(e)	Putrescine exchange	[e] : ptrc <==>			
EX_pyr(e)	Pyruvate exchange	[e] : pyr <==>			
EX_r5p(e)	alpha-D-Ribose 5-phosphate exchange	[e] : r5p <==>			
EX_rib-D(e)	D-Ribose exchange	[e] : rib-D <==>			
EX_rmn(e)	L-Rhamnose exchange	[e] : rmn <==>			
EX_sbt-D(e)	D-Sorbitol exchange	[e] : sbt-D <==>			
EX_ser-D(e)	D-Serine exchange	[e] : ser-D <==>			
EX_ser-L(e)	L-Serine exchange	[e] : ser-L <==>			
EX_skm(e)	Shikimate exchange	[e] : skm <==>			
EX_so2(e)	sulfur dioxide exchange	[e] : so2 <==>			
EX_so3(e)	Sulfite exchange	[e] : so3 <==>			
EX_so4(e)	Sulfate exchange	[e] : so4 <==>			
EX_spmd(e)	Spermidine exchange	[e] : spmd <==>			
EX_succ(e)	Succinate exchange	[e] : succ <==>			
EX_sucr(e)	Sucrose exchange	[e] : sucr <==>			
EX_sulfac(e)	sulfoacetate exchange	[e] : sulfac <==>			
EX_tartr-L(e)	L-tartrate exchange	[e] : tartr-L <==>			
EX_taur(e)	Taurine exchange	[e] : taur <==>			
EX_tcynt(e)	Thiocyanate exchange	[e] : tcynt <==>			
EX_thm(e)	Thiamin exchange	[e] : thm <==>			
EX_thr-L(e)	L-Threonine exchange	[e] : thr-L <==>			
EX_thrp(e)	L-Threonine O-3-phosphate exchange	[e] : thrp <==>			
EX_thym(e)	Thymine exchange	[e] : thym <==>			
EX_thymd(e)	Thymidine exchange	[e] : thymd <==>			
EX_tma(e)	Trimethylamine exchange	[e] : tma <==>			
EX_tmao(e)	Trimethylamine N-oxide exchange	[e] : tmao <==>			
EX_tre(e)	Trehalose exchange	[e] : tre <==>			
EX_trp-L(e)	L-Tryptophan exchange	[e] : trp-L <==>			
EX_tsul(e)	Thiosulfate exchange	[e] : tsul <==>			
EX_ttdca(e)	tetradecanoate (n-C14:0) exchange	[e] : ttdca <==>			
EX_ttdcea(e)	tetradecenoate (n-C14:1) exchange	[e] : ttdcea <==>			
EX_tungs(e)	tungstate exchange	[e] : tungs <==>			
EX_tym(e)	Tyramine exchange	[e] : tym <==>			
EX_tyr-L(e)	L-Tyrosine exchange	[e] : tyr-L <==>			
EX_tyrp(e)	Phosphotyrosine exchange	[e] : tyrp <==>			
EX_uacgam(e)	UDP-N-acetyl-D-glucosamine exchange	[e] : uacgam <==>			
EX_udpacgal(e)	UDP-N-acetyl-D-galactosamine exchange	[e] : udpacgal <==>			
EX_udpg(e)	UDPglucose exchange	[e] : udpg <==>			
EX_udpgal(e)	UDPgalactose exchange	[e] : udpgal <==>			
EX_udpglcur(e)	UDP-D-glucuronate exchange	[e] : udpglcur <==>			
EX_ump(e)	UMP exchange	[e] : ump <==>			
EX_ura(e)	Uracil exchange	[e] : ura <==>			
EX_urea(e)	Urea exchange	[e] : urea <==>			
EX_uri(e)	Uridine exchange	[e] : uri <==>			
EX_val-L(e)	L-Valine exchange	[e] : val-L <==>			
EX_xan(e)	Xanthine exchange	[e] : xan <==>			
EX_xmp(e)	Xanthosine 5'-phosphate exchange	[e] : xmp <==>			
EX_xtsn(e)	Xanthosine exchange	[e] : xtsn <==>			
EX_xyl-D(e)	D-Xylose exchange	[e] : xyl-D <==>			
EX_xylu-L(e)	L-Xylulose exchange	[e] : xylu-L <==>			
EX_zn2(e)	Zinc exchange	[e] : zn2 <==>			
F6PA	fructose 6-phosphate aldolase	[c] : f6p <==> dha + g3p	Glycolysis/Gluconeogenesis		( b0825  or  b3946 )
F6PP	D-fructose 6-phosphate phosphatase	[c] : f6p + h2o --> fru + pi	Alternate Carbon Metabolism		b0822
F6Pt6_2pp	Fructose-6-phosphate transport via phosphate antiport (periplasm)	f6p[p] + (2) pi[c] --> f6p[c] + (2) pi[p]	Transport, Inner Membrane		b3666
F6Ptex	fructose 6-phosphate transport via diffusion (extracellular to periplasm)	f6p[e] <==> f6p[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
FA100ACPHi	fatty-acyl-ACP hydrolase	[c] : dcaACP + h2o --> ACP + dca + h	Cell Envelope Biosynthesis	3.1.2.14	b0404
FA120ACPHi	fatty-acyl-ACP hydrolase	[c] : ddcaACP + h2o --> ACP + ddca + h	Cell Envelope Biosynthesis	3.1.2.14	b0404
FA140ACPHi	fatty-acyl-ACP hydrolase	[c] : h2o + myrsACP --> ACP + h + ttdca	Cell Envelope Biosynthesis	3.1.2.14	b0404
FA141ACPHi	fatty-acyl-ACP hydrolase	[c] : h2o + tdeACP --> ACP + h + ttdcea	Cell Envelope Biosynthesis	3.1.2.14	b0404
FA160ACPHi	fatty-acyl-ACP hydrolase	[c] : h2o + palmACP --> ACP + h + hdca	Cell Envelope Biosynthesis	3.1.2.14	b0404
FA161ACPHi	fatty-acyl-ACP hydrolase	[c] : h2o + hdeACP --> ACP + h + hdcea	Cell Envelope Biosynthesis	3.1.2.14	b0404
FA80ACPHi	fatty-acyl-ACP hydrolase	[c] : h2o + ocACP --> ACP + h + octa	Cell Envelope Biosynthesis	3.1.2.14	b0404
FACOAE100	fatty-acid-CoA thioesterase (decanoate)	[c] : dcacoa + h2o --> coa + dca + h	Cell Envelope Biosynthesis		b0452
FACOAE120	fatty-acid-CoA thioesterase (dodecanoate)	[c] : ddcacoa + h2o --> coa + ddca + h	Cell Envelope Biosynthesis		b0452
FACOAE140	fatty-acid-CoA thioesterase (tetradecanoate)	[c] : h2o + tdcoa --> coa + h + ttdca	Cell Envelope Biosynthesis		b0452
FACOAE141	fatty-acid-CoA thioesterase (tetradecenoate)	[c] : h2o + tdecoa --> coa + h + ttdcea	Cell Envelope Biosynthesis		b0452
FACOAE160	fatty-acid-CoA thioesterase (hexadecanoate)	[c] : h2o + pmtcoa --> coa + h + hdca	Cell Envelope Biosynthesis		b0452
FACOAE161	fatty-acid-CoA thioesterase (hexadecenoate)	[c] : h2o + hdcoa --> coa + h + hdcea	Cell Envelope Biosynthesis		b0452
FACOAE180	fatty-acid-CoA thioesterase (octadecanoate)	[c] : h2o + stcoa --> coa + h + ocdca	Cell Envelope Biosynthesis		b0452
FACOAE181	fatty-acid-CoA thioesterase (octadecenoate)	[c] : h2o + odecoa --> coa + h + ocdcea	Cell Envelope Biosynthesis		b0452
FACOAE60	fatty-acid-CoA thioesterase (hexanoate)	[c] : h2o + hxcoa --> coa + h + hxa	Cell Envelope Biosynthesis		b0452
FACOAE80	fatty-acid-CoA thioesterase (octanoate)	[c] : h2o + occoa --> coa + h + octa	Cell Envelope Biosynthesis		b0452
FACOAL100t2pp	fatty-acid-CoA ligase (decanoate transport via vectoral Co-A coupling)	atp[c] + coa[c] + dca[p] + h[p] --> amp[c] + dcacoa[c] + h[c] + ppi[c]	Cell Envelope Biosynthesis	6.2.1.3	( b1805  or  b1701 )
FACOAL120t2pp	fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling)	atp[c] + coa[c] + ddca[p] + h[p] --> amp[c] + ddcacoa[c] + h[c] + ppi[c]	Cell Envelope Biosynthesis	6.2.1.3	( b1701  or  b1805 )
FACOAL140t2pp	fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling)	atp[c] + coa[c] + h[p] + ttdca[p] --> amp[c] + h[c] + ppi[c] + tdcoa[c]	Cell Envelope Biosynthesis	6.2.1.3	( b1805  or  b1701 )
FACOAL141t2pp	fatty-acid-CoA ligase (tetradecenoate transport via vectoral Co-A coupling)	atp[c] + coa[c] + h[p] + ttdcea[p] --> amp[c] + h[c] + ppi[c] + tdecoa[c]	Cell Envelope Biosynthesis	6.2.1.3	( b1701  or  b1805 )
FACOAL160t2pp	fatty-acid-CoA ligase (hexadecanoate transport via vectoral Co-A coupling)	atp[c] + coa[c] + h[p] + hdca[p] --> amp[c] + h[c] + pmtcoa[c] + ppi[c]	Cell Envelope Biosynthesis	6.2.1.3	( b1701  or  b1805 )
FACOAL161t2pp	fatty-acid-CoA ligase (hexadecenoate transport via vectoral Co-A coupling)	atp[c] + coa[c] + h[p] + hdcea[p] --> amp[c] + h[c] + hdcoa[c] + ppi[c]	Cell Envelope Biosynthesis	6.2.1.3	( b1805  or  b1701 )
FACOAL180t2pp	fatty-acid-CoA ligase (octadecanoate transport via vectoral Co-A coupling)	atp[c] + coa[c] + h[p] + ocdca[p] --> amp[c] + h[c] + ppi[c] + stcoa[c]	Cell Envelope Biosynthesis	6.2.1.3	( b1805  or  b1701 )
FACOAL181t2pp	fatty-acid-CoA ligase (octadecenoate transport via vectoral Co-A coupling)	atp[c] + coa[c] + h[p] + ocdcea[p] --> amp[c] + h[c] + odecoa[c] + ppi[c]	Cell Envelope Biosynthesis	6.2.1.3	( b1805  or  b1701 )
FACOAL60t2pp	fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling)	atp[c] + coa[c] + h[p] + hxa[p] --> amp[c] + h[c] + hxcoa[c] + ppi[c]	Cell Envelope Biosynthesis	6.2.1.3	( b1805  or  b1701 )
FACOAL80t2pp	fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling)	atp[c] + coa[c] + h[p] + octa[p] --> amp[c] + h[c] + occoa[c] + ppi[c]	Cell Envelope Biosynthesis	6.2.1.3	( b1805  or  b1701 )
FADRx	FAD reductase	[c] : fad + h + nadh --> fadh2 + nad	Cofactor and Prosthetic Group Biosynthesis		b3844
FADRx2	FAD reductase	[c] : fad + h + nadph --> fadh2 + nadp	Cofactor and Prosthetic Group Biosynthesis		( b2763  and  b2764 )
FALDH2	formaldehyde dehydrogenase	[c] : hmgth + nad <==> Sfglutth + h + nadh	Cofactor and Prosthetic Group Biosynthesis		b0356
FALDtex	formaldehyde transport via diffusion (extracellular to periplasm)	fald[e] <==> fald[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
FALDtpp	formaldehyde transport via diffusion (periplasm)	fald[p] <==> fald[c]	Transport, Inner Membrane		s0001
FALGTHLs	formaldehyde glutathione ligase (spontaneous)	[c] : fald + gthrd <==> hmgth	Cofactor and Prosthetic Group Biosynthesis		s0001
FBA	fructose-bisphosphate aldolase	[c] : fdp <==> dhap + g3p	Glycolysis/Gluconeogenesis	4.1.2.13	( b2097  or  b2925  or  b1773 )
FBP	fructose-bisphosphatase	[c] : fdp + h2o --> f6p + pi	Glycolysis/Gluconeogenesis	3.1.3.11	( b4232  or  b3925 )
FCI	L-fucose isomerase	[c] : fuc-L <==> fcl-L	Alternate Carbon Metabolism	5.3.1.25	b2802
FCLK	L-fuculokinase	[c] : atp + fcl-L --> adp + fc1p + h	Alternate Carbon Metabolism	2.7.1.51	b2803
FCLPA	L-fuculose 1-phosphate aldolase	[c] : fc1p <==> dhap + lald-L	Alternate Carbon Metabolism	4.1.2.17	( b2800  or  b2738 )
FCLT	Ferrochelatase	[c] : fe2 + ppp9 --> (2) h + pheme	Cofactor and Prosthetic Group Biosynthesis	4.99.1.1	b0475
FDH4pp	formate dehydrogenase (quinone-8) (periplasm)	for[p] + (2) h[c] + q8[c] --> co2[c] + h[p] + q8h2[c]	Oxidative Phosphorylation	1.2.2.1	( ( b3892  and  b3893  and  b3894 )  or  ( b1474  and  b1475  and  b1476 ) )
FDH5pp	Formate Dehydrogenase (menaquinone-8) (periplasm)	for[p] + (2) h[c] + mqn8[c] --> co2[c] + h[p] + mql8[c]	Oxidative Phosphorylation	1.2.2.1	( ( b1474  and  b1475  and  b1476 )  or  ( b3892  and  b3893  and  b3894 ) )
FDMO	FMNH2-dependent monooxygenase	[c] : fmnh2 + isetac + o2 --> fmn + gcald + h + h2o + so3	Inorganic Ion Transport and Metabolism		b0935
FDMO2	FMNH2-dependent monooxygenase (methanesulfonate)	[c] : fmnh2 + mso3 + o2 --> fald + fmn + h + h2o + so3	Inorganic Ion Transport and Metabolism		b0935
FDMO3	FMNH2-dependent monooxygenase (ethanesulfonate)	[c] : ethso3 + fmnh2 + o2 --> acald + fmn + h + h2o + so3	Inorganic Ion Transport and Metabolism		b0935
FDMO4	FMNH2-dependent monooxygenase (butanesulfonate)	[c] : butso3 + fmnh2 + o2 --> btal + fmn + h + h2o + so3	Inorganic Ion Transport and Metabolism		b0935
FDMO6	FMNH2-dependent monooxygenase (sulfoacetate)	[c] : fmnh2 + o2 + sulfac --> fmn + glx + h + h2o + so3	Inorganic Ion Transport and Metabolism		b0935
FE2abcpp	iron (II) transport via ABC system (periplasm)	atp[c] + fe2[p] + h2o[c] --> adp[c] + fe2[c] + h[c] + pi[c]	Inorganic Ion Transport and Metabolism		b3409
FE2t2pp	iron (II) transport in via proton symport (periplasm)	fe2[p] + h[p] --> fe2[c] + h[c]	Inorganic Ion Transport and Metabolism		b2392
FE2t3pp	iron (Fe+2) transport out via proton antiport (periplasm)	fe2[c] + h[p] --> fe2[p] + h[c]	Inorganic Ion Transport and Metabolism		b3915
FE2tex	iron (II) transport via diffusion (extracellular to periplasm)	fe2[e] <==> fe2[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
FE2tpp	iron (+2) transport in via permease (no H+)	fe2[p] --> fe2[c]	Inorganic Ion Transport and Metabolism		b3040
FE3abcpp	iron (III) transport via ABC system (periplasm to cytoplasm)	atp[c] + fe3[p] + h2o[c] --> adp[c] + fe3[c] + h[c] + pi[c]	Inorganic Ion Transport and Metabolism		
FE3DCITabcpp	iron transport from ferric-dicitrate via ABC system (periplasm)	atp[c] + fe3dcit[p] + h2o[c] --> adp[c] + (2) cit[c] + fe3[c] + h[c] + pi[c]	Inorganic Ion Transport and Metabolism		( b4290  and  b4289  and  b4288  and  b4287 )
FE3DCITtonex	ferric-dicitrate transport via ton system (extracellular)	fe3dcit[e] + h[p] --> fe3dcit[p] + h[c]	Transport, Outer Membrane		( b4291  and  ( b1252  and  b3005  and  b3006 ) )
FE3DHBZR	release of Fe(III) from ferric 2,3-dihydroxybenzoylserine	[c] : fe3dhbzs --> 23dhbzs + fe3	Inorganic Ion Transport and Metabolism		
FE3DHBZSabcpp	ferric 2,3-dihydroxybenzoylserine transport via ABC system (periplasm)	atp[c] + fe3dhbzs[p] + h2o[c] --> adp[c] + fe3dhbzs[c] + h[c] + pi[c]	Inorganic Ion Transport and Metabolism		( b0592  and  b0588  and  b0590  and  b0589 )
FE3DHBZStonex	ferric 2,3-dihydroxybenzoylserine transport via ton system (extracellular)	fe3dhbzs[e] + h[p] --> fe3dhbzs[p] + h[c]	Transport, Outer Membrane		( ( b0805  and  ( b1252  and  b3005  and  b3006 ) )  or  ( b2155  and  ( b1252  and  b3005  and  b3006 ) ) )
